date,text,aspect,aspect_ix,opinion,sentiment,triplet,aspect_opinion,timestamp,info,cat
2022-02-09T11:12:09.515717Z,С 2015 года работаю с банком доволен . Всегда быстрый ответ и профессиональная подготовка сотрудников .,подготовка,[13],профессиональная,POS,"('подготовка', 'профессиональная', 'POS')","('подготовка', 'профессиональная')",1644405129.515717,1,0
2022-02-09T10:57:05.44652Z,"Добрый день . Являюсь активным клиентом банка уже на протяжении более 10 лет . Имею стату клиента банка ! Нравилось абсолютно все , качество обслуживания , мобильная связь от банка , активно рекомендовал банк своим друзьям , знакомым , предпринимателям , помогал с оформлением дебетовых , кредитных счетов , привел более 20 человек . Возможности брокерского обслуживания , которым самостоятельно пользовался последние несколько лет . И тут нежданчик прилетел . Такой серьезной подставы от банка Тинкоф я точно не ожидал !!! ! о чем ниже . Близкие родственники попросили меня обменять крупную сумму денег в рублях на валюту ( евро . ) с целью защиты от инфляции нажитого имущества ( порядка 8,5 млн руб ) . Предложил им свою помощь , произвели обменную операцию в мультивалютном банкомате Тинкофф через мой счет , своих счетов у них не было , люди пожилые , все прошло успешно . Через пару дней падает сообщение в мобильный банк о необходимости предоставления документов по списку 1.2 . 3 ( справки ндфл и тд , ) и обоснованности совершенной операции согласно закону 115 - ФЗ ( О ПРОТИВОДЕЙСТВИИ ЛЕГАЛИЗАЦИИ ( ОТМЫВАНИЮ ) ДОХОДОВ , ПОЛУЧЕННЫХ ПРЕСТУПНЫМ ПУТЕМ , И ФИНАНСИРОВАНИЮ ТЕРРОРИЗМА ) . Ну думаю ладно . Предоставлю документы и успокоятся . Не тут то было . Не дожидаясь моего ответа , в срок установленный до 10 февраля 2022г . все мои карточные , брокерские счета блокируются банком , с невозможностью совершения абсолютно никаких операций , кроме перемещения со счета на счет . В результате чего я остался без средств к существованию и возможности покупок обычных продуктов в магазинах !!! ! ! На мои запросы техподдержка отвечает необходимость предоставления дополнительных документов или возможностью вывода всех средств на счет в другой банк одним траншем с закрытием всех счетов . !!! ! Или приездом в Москву для разбирательств . Я просто опешил после этого . Моему возмущению нет предела ! Это как же так то . ? ! Я что преступник или нахожусь в розыске !!! ! На каком основании банк совершает неправомерные действия по блокировке , ограничению движения средств на всех моих счетах , включая дебетовой карты , закрывает межбанк !!! Если служба СБ Тинкоф не одумается в самое ближайшее время . , придется подпортить вам репутацию через мединую сферу . Раз вы уж решили так со своими клиентами обходится . Все необходимые документы , договора купли - продажи , справки я предоставил . Жду ответа от представителей банка , с обоснование причин блокировки моих счетов ! Срочно !!! ! !",действие,[335],неправомерные,NEG,"('действие', 'неправомерные', 'NEG')","('действие', 'неправомерные')",1644404225.44652,1,2
2022-02-09T10:57:05.44652Z,"Добрый день . Являюсь активным клиентом банка уже на протяжении более 10 лет . Имею стату клиента банка ! Нравилось абсолютно все , качество обслуживания , мобильная связь от банка , активно рекомендовал банк своим друзьям , знакомым , предпринимателям , помогал с оформлением дебетовых , кредитных счетов , привел более 20 человек . Возможности брокерского обслуживания , которым самостоятельно пользовался последние несколько лет . И тут нежданчик прилетел . Такой серьезной подставы от банка Тинкоф я точно не ожидал !!! ! о чем ниже . Близкие родственники попросили меня обменять крупную сумму денег в рублях на валюту ( евро . ) с целью защиты от инфляции нажитого имущества ( порядка 8,5 млн руб ) . Предложил им свою помощь , произвели обменную операцию в мультивалютном банкомате Тинкофф через мой счет , своих счетов у них не было , люди пожилые , все прошло успешно . Через пару дней падает сообщение в мобильный банк о необходимости предоставления документов по списку 1.2 . 3 ( справки ндфл и тд , ) и обоснованности совершенной операции согласно закону 115 - ФЗ ( О ПРОТИВОДЕЙСТВИИ ЛЕГАЛИЗАЦИИ ( ОТМЫВАНИЮ ) ДОХОДОВ , ПОЛУЧЕННЫХ ПРЕСТУПНЫМ ПУТЕМ , И ФИНАНСИРОВАНИЮ ТЕРРОРИЗМА ) . Ну думаю ладно . Предоставлю документы и успокоятся . Не тут то было . Не дожидаясь моего ответа , в срок установленный до 10 февраля 2022г . все мои карточные , брокерские счета блокируются банком , с невозможностью совершения абсолютно никаких операций , кроме перемещения со счета на счет . В результате чего я остался без средств к существованию и возможности покупок обычных продуктов в магазинах !!! ! ! На мои запросы техподдержка отвечает необходимость предоставления дополнительных документов или возможностью вывода всех средств на счет в другой банк одним траншем с закрытием всех счетов . !!! ! Или приездом в Москву для разбирательств . Я просто опешил после этого . Моему возмущению нет предела ! Это как же так то . ? ! Я что преступник или нахожусь в розыске !!! ! На каком основании банк совершает неправомерные действия по блокировке , ограничению движения средств на всех моих счетах , включая дебетовой карты , закрывает межбанк !!! Если служба СБ Тинкоф не одумается в самое ближайшее время . , придется подпортить вам репутацию через мединую сферу . Раз вы уж решили так со своими клиентами обходится . Все необходимые документы , договора купли - продажи , справки я предоставил . Жду ответа от представителей банка , с обоснование причин блокировки моих счетов ! Срочно !!! ! !",подстава,[72],серьезной,NEG,"('подстава', 'серьезной', 'NEG')","('подстава', 'серьезной')",1644404225.44652,1,2
2022-02-09T09:53:40.018Z,Хотел бы выразить благодарность менеджеру Татьяне за оперативное решение вопроса по обслуживанию на тарифе Тинькофф Премиум . Спасибо !,менеджер,[4],благодарность,POS,"('менеджер', 'благодарность', 'POS')","('менеджер', 'благодарность')",1644400420.018,1,0
2022-02-09T09:53:40.018Z,Хотел бы выразить благодарность менеджеру Татьяне за оперативное решение вопроса по обслуживанию на тарифе Тинькофф Премиум . Спасибо !,решение,[8],оперативное,POS,"('решение', 'оперативное', 'POS')","('решение', 'оперативное')",1644400420.018,1,0
2022-02-09T09:16:02.851786Z,"Хочу выразить огромную благодарность персональному менеджеру Б . Екатерине ! Очень чуткий к клиентам сотрудник , внимательна и приветлива . Приятно работать с такими Людьми ) Спасибо ) ) ) .",сотрудник,[14],приветлива,POS,"('сотрудник', 'приветлива', 'POS')","('сотрудник', 'приветлива')",1644398162.851786,1,0
2022-02-09T09:16:02.851786Z,"Хочу выразить огромную благодарность персональному менеджеру Б . Екатерине ! Очень чуткий к клиентам сотрудник , внимательна и приветлива . Приятно работать с такими Людьми ) Спасибо ) ) ) .",сотрудник,[14],внимательна,POS,"('сотрудник', 'внимательна', 'POS')","('сотрудник', 'внимательна')",1644398162.851786,1,0
2022-02-09T09:16:02.851786Z,"Хочу выразить огромную благодарность персональному менеджеру Б . Екатерине ! Очень чуткий к клиентам сотрудник , внимательна и приветлива . Приятно работать с такими Людьми ) Спасибо ) ) ) .",сотрудник,[14],чуткий,POS,"('сотрудник', 'чуткий', 'POS')","('сотрудник', 'чуткий')",1644398162.851786,1,0
2022-02-09T09:16:02.851786Z,"Хочу выразить огромную благодарность персональному менеджеру Б . Екатерине ! Очень чуткий к клиентам сотрудник , внимательна и приветлива . Приятно работать с такими Людьми ) Спасибо ) ) ) .",менеджер,[5],приветлива,POS,"('менеджер', 'приветлива', 'POS')","('менеджер', 'приветлива')",1644398162.851786,1,0
2022-02-09T09:16:02.851786Z,"Хочу выразить огромную благодарность персональному менеджеру Б . Екатерине ! Очень чуткий к клиентам сотрудник , внимательна и приветлива . Приятно работать с такими Людьми ) Спасибо ) ) ) .",менеджер,[5],благодарность,POS,"('менеджер', 'благодарность', 'POS')","('менеджер', 'благодарность')",1644398162.851786,1,0
2022-02-09T08:34:28.030806Z,"Я рад простоте и скорости работы банка Тинькофф . Мне нравится как настроена работа банка и качество предоставления услуг . Особенно я хочу сказать слова благодарности нашему персональному менеджеру А . Юлии Борисовне , она своевременно отвечала на все вопросы и помогала с оплатой счетов ! При проведении проверки ни как не повлияло на работу нашей компании .",менеджер,[28],благодарности,POS,"('менеджер', 'благодарности', 'POS')","('менеджер', 'благодарности')",1644395668.030806,1,0
2022-02-09T07:05:47.925017Z,"Быстро связались со мной , в кратчайшие сроки оформили документы . Консультирование , советуют . Вежливый персонал . Отличный банк . Советую .",персонал,[16],вежливый,POS,"('персонал', 'вежливый', 'POS')","('персонал', 'вежливый')",1644390347.925017,1,0
2022-02-09T07:05:47.925017Z,"Быстро связались со мной , в кратчайшие сроки оформили документы . Консультирование , советуют . Вежливый персонал . Отличный банк . Советую .",банк,[19],отличный,POS,"('банк', 'отличный', 'POS')","('банк', 'отличный')",1644390347.925017,1,0
2022-02-09T07:05:47.925017Z,"Быстро связались со мной , в кратчайшие сроки оформили документы . Консультирование , советуют . Вежливый персонал . Отличный банк . Советую .",срок,[7],кратчайшие,POS,"('срок', 'кратчайшие', 'POS')","('срок', 'кратчайшие')",1644390347.925017,1,0
2022-02-09T06:24:04.968499Z,"Очень приятно работать с Тиньковым . Регистрация ИП и открытие счта на высочайшем уровне ! Скорость , корректность сотрудников и наджность .",уровень,[13],высочайшем,POS,"('уровень', 'высочайшем', 'POS')","('уровень', 'высочайшем')",1644387844.968499,1,2
2022-02-08T18:34:18.900003Z,"Опыт с банком самый положительный . Несмотря на то что сама сотрудник другого банка , я амбасадор Тинькоф . Лучший банк !",банк,[20],лучший,POS,"('банк', 'лучший', 'POS')","('банк', 'лучший')",1644345258.900003,1,2
2022-02-08T18:29:11.595836Z,"Быстрое открытие счта , выезд со рудников на дом не отвлекает от дел , рекомендую , слаженная работа !!! Советую всем открывать бизнес через этот банк .",работа,[17],слаженная,POS,"('работа', 'слаженная', 'POS')","('работа', 'слаженная')",1644344951.595836,1,0
2022-02-08T18:29:11.595836Z,"Быстрое открытие счта , выезд со рудников на дом не отвлекает от дел , рекомендую , слаженная работа !!! Советую всем открывать бизнес через этот банк .",открытие,[1],быстрое,POS,"('открытие', 'быстрое', 'POS')","('открытие', 'быстрое')",1644344951.595836,1,0
2022-02-08T17:22:34.919601Z,"Заказал дебитовую карту привезли быстро в срок , предложили мобильную сим карту связь неплохая вс устраивает спасибо .",связь,[12],неплохая,POS,"('связь', 'неплохая', 'POS')","('связь', 'неплохая')",1644340954.919601,1,3
2022-02-08T16:39:01.405342Z,Опыт исключительно положительный . Я более чем доволен работой банка и менеджера Александоа . Все вопрсы решены .,опыт,[0],положительный,POS,"('опыт', 'положительный', 'POS')","('опыт', 'положительный')",1644338341.405342,1,2
2022-02-08T16:39:01.405342Z,Опыт исключительно положительный . Я более чем доволен работой банка и менеджера Александоа . Все вопрсы решены .,работа,[8],доволен,POS,"('работа', 'доволен', 'POS')","('работа', 'доволен')",1644338341.405342,1,0
2022-02-08T16:34:47.811774Z,"Открыл расчтный счт . Требовалось обьединить кабинет ООО с кабинетом ИП . Сотрудник банка - Эльвира ( внутренний номер в банке 6912325 ) впечатлила меня как никто и никогда ни в одном другом банке ! Скорость решения задачи молниеносная ! Никакой воды , диалог строго по делу , на каждом этапе была весьма внимательна и сверх компетентна ! Благодаря таким сотрудникам я стал обожать Банк Тинькофф ! Эльвира , если Вы когда - нибудь прочитаете мой отзыв , знайте , что Вы - находка !",скорость,[35],молниеносная,POS,"('скорость', 'молниеносная', 'POS')","('скорость', 'молниеносная')",1644338087.811774,1,0
2022-02-08T15:27:56.098157Z,"Работаю с банком Тинькофф с 2019 года . Это лучший опыт моего взаимодействия с банками . Я всегда нахожу подтверждение тому , что я ценный клиент банка .",опыт,[10],лучший,POS,"('опыт', 'лучший', 'POS')","('опыт', 'лучший')",1644334076.098157,1,2
2022-02-08T15:27:56.098157Z,"Работаю с банком Тинькофф с 2019 года . Это лучший опыт моего взаимодействия с банками . Я всегда нахожу подтверждение тому , что я ценный клиент банка .",клиент,[25],ценный,POS,"('клиент', 'ценный', 'POS')","('клиент', 'ценный')",1644334076.098157,1,2
2022-02-08T14:51:30.377588Z,"От сотрудничества с Тинькофф банк получаю только положительные эмоции . Не перестаю удивляться отзывчивости и желании помочь клиенту в этом банке . Расскажу о последнем случае . Выбрал в разделе Повышенный кэшбэк подраздел Образование . Оплатил сыну образование в колледже . Но сделал это по выставленному счету . А как оказалось за оплату по выставленному счету кэшбэк не начисляется . Обратился на авось в службу поддержки банка . И как не странно , мне пошли на встречу и зачислили кэшбэк . Ценю этот банк за стремление помочь в любой ситуации . В данной ситуации особая благодарность Марине ( 6902161 ) !",эмоция,[8],положительные,POS,"('эмоция', 'положительные', 'POS')","('эмоция', 'положительные')",1644331890.377588,1,0
2022-02-08T14:51:30.377588Z,"От сотрудничества с Тинькофф банк получаю только положительные эмоции . Не перестаю удивляться отзывчивости и желании помочь клиенту в этом банке . Расскажу о последнем случае . Выбрал в разделе Повышенный кэшбэк подраздел Образование . Оплатил сыну образование в колледже . Но сделал это по выставленному счету . А как оказалось за оплату по выставленному счету кэшбэк не начисляется . Обратился на авось в службу поддержки банка . И как не странно , мне пошли на встречу и зачислили кэшбэк . Ценю этот банк за стремление помочь в любой ситуации . В данной ситуации особая благодарность Марине ( 6902161 ) !",эмоция,[8],отзывчивости,POS,"('эмоция', 'отзывчивости', 'POS')","('эмоция', 'отзывчивости')",1644331890.377588,1,0
2022-02-08T14:51:30.377588Z,"От сотрудничества с Тинькофф банк получаю только положительные эмоции . Не перестаю удивляться отзывчивости и желании помочь клиенту в этом банке . Расскажу о последнем случае . Выбрал в разделе Повышенный кэшбэк подраздел Образование . Оплатил сыну образование в колледже . Но сделал это по выставленному счету . А как оказалось за оплату по выставленному счету кэшбэк не начисляется . Обратился на авось в службу поддержки банка . И как не странно , мне пошли на встречу и зачислили кэшбэк . Ценю этот банк за стремление помочь в любой ситуации . В данной ситуации особая благодарность Марине ( 6902161 ) !",банк,[83],ценю,POS,"('банк', 'ценю', 'POS')","('банк', 'ценю')",1644331890.377588,1,0
2022-02-08T14:10:11.168804Z,"Дебетовая карта Тинькофф Блэк . Привезли домой через день после он лайн заказа . Интуитивно понятное приложение . Быстрое управление финансами . Быстрый перевод рублей на любые валюты мира . Оценил это при поездке в ОАЭ . Без комиссий . В отличие от Сбера , где потерял на двойном обмене треть суммы . Кэшбэк так себе , но он есть .",приложение,[16],интуитивно понятное,POS,"('приложение', 'интуитивно понятное', 'POS')","('приложение', 'интуитивно понятное')",1644329411.168804,1,4
2022-02-08T14:10:11.168804Z,"Дебетовая карта Тинькофф Блэк . Привезли домой через день после он лайн заказа . Интуитивно понятное приложение . Быстрое управление финансами . Быстрый перевод рублей на любые валюты мира . Оценил это при поездке в ОАЭ . Без комиссий . В отличие от Сбера , где потерял на двойном обмене треть суммы . Кэшбэк так себе , но он есть .",приложение,[16],понятное,POS,"('приложение', 'понятное', 'POS')","('приложение', 'понятное')",1644329411.168804,1,4
2022-02-08T14:10:11.168804Z,"Дебетовая карта Тинькофф Блэк . Привезли домой через день после он лайн заказа . Интуитивно понятное приложение . Быстрое управление финансами . Быстрый перевод рублей на любые валюты мира . Оценил это при поездке в ОАЭ . Без комиссий . В отличие от Сбера , где потерял на двойном обмене треть суммы . Кэшбэк так себе , но он есть .",перевод,[23],быстрый,POS,"('перевод', 'быстрый', 'POS')","('перевод', 'быстрый')",1644329411.168804,1,1
2022-02-08T14:10:11.168804Z,"Дебетовая карта Тинькофф Блэк . Привезли домой через день после он лайн заказа . Интуитивно понятное приложение . Быстрое управление финансами . Быстрый перевод рублей на любые валюты мира . Оценил это при поездке в ОАЭ . Без комиссий . В отличие от Сбера , где потерял на двойном обмене треть суммы . Кэшбэк так себе , но он есть .",управление,[19],быстрое,POS,"('управление', 'быстрое', 'POS')","('управление', 'быстрое')",1644329411.168804,1,3
2022-02-08T12:17:26.912808Z,"Позитивный опыт . Хорошая ориентированность на клиента . Всегда быстрые ответы . В сравнении с другими ( большими государственными ... ) банками , высок процент на остаток . Все нравится .",опыт,[1],позитивный,POS,"('опыт', 'позитивный', 'POS')","('опыт', 'позитивный')",1644322646.912808,1,2
2022-02-08T12:17:26.912808Z,"Позитивный опыт . Хорошая ориентированность на клиента . Всегда быстрые ответы . В сравнении с другими ( большими государственными ... ) банками , высок процент на остаток . Все нравится .",ответ,[10],быстрые,POS,"('ответ', 'быстрые', 'POS')","('ответ', 'быстрые')",1644322646.912808,1,2
2022-02-08T12:17:26.912808Z,"Позитивный опыт . Хорошая ориентированность на клиента . Всегда быстрые ответы . В сравнении с другими ( большими государственными ... ) банками , высок процент на остаток . Все нравится .",процент,[24],высок,POS,"('процент', 'высок', 'POS')","('процент', 'высок')",1644322646.912808,1,1
2022-02-08T12:17:26.912808Z,"Позитивный опыт . Хорошая ориентированность на клиента . Всегда быстрые ответы . В сравнении с другими ( большими государственными ... ) банками , высок процент на остаток . Все нравится .",ориентированность,[4],хорошая,POS,"('ориентированность', 'хорошая', 'POS')","('ориентированность', 'хорошая')",1644322646.912808,1,2
2022-02-08T12:07:50.724825Z,"Лучшее обслуживание ! Всегда и всем рекомендую пользоваться услугами Тинькофф Банка . Быстро , качественно , наджно , удобно , эффективно .",обслуживание,[1],лучшее,POS,"('обслуживание', 'лучшее', 'POS')","('обслуживание', 'лучшее')",1644322070.724825,1,0
