text,pred,pred_text
"Я обожаю этот банк . Он дарит мне ежемесячные кэшбэки , что очень приятно . Ты можешь выбирать каждый месяц категории с повышенным кэшбеком . И это круто . Очень много плюшек для держателей дебетовых карт . Например , можно один раз посидеть в бизнес зале аэропорта . Бесплатно считай . Круто . Респект им . Все дистанционно . Никуда не надо идти и сидеть в очередях . . переходите на тиньк .","[([3], [1], 'POS')]","[('банк', 'обожаю', 'POS')]"
"Спасибо Тинькофф Банк за Мега положительное настроение , ваши сотрудники - это настоящая находка , помогли разобраться с проходами в бизнес зал , все ребята Мега профессионалы , хочу выделить каждого с кем сегодня общалась 27.12.2023 , все понятно и доходчиво объяснили , оператор Ольга покорила больше всех , прислала такую милую картинку , подняла настроение на все 100 % С наступающим Новым годо .","[([6], [5], 'POS'), ([6], [4, 5], 'POS'), ([9], [13], 'POS')]","[('настроение', 'положительное', 'POS'), ('настроение', 'Мега положительное', 'POS'), ('сотрудники', 'находка', 'POS')]"
Здравствуйте . Хочу поблогадорить Яну внутренний личный её номер 468099 . Она проявила большой профессионализм . Все подробно рассказала и постаралась мне сделать подписку Премиум бесплатной . Очень доброжелательный и понимающий сотрудник ! Побо .,"[([31], [30], 'POS'), ([31], [27, 28], 'POS'), ([31], [28], 'POS'), ([14], [13], 'POS')]","[('сотрудник', 'понимающий', 'POS'), ('сотрудник', 'Очень доброжелательный', 'POS'), ('сотрудник', 'доброжелательный', 'POS'), ('профессионализм', 'большой', 'POS')]"
"Тинькоф Банк - очень надежный и удобный банк , являюсь клиентом более 2 лет , и никогда не было жалоб на этот банк . Одной из самых привлекательных особенностей Тинькоф Банка для меня является их программа кешбека . Я получаю часть денег обратно за каждую покупку , которую делаю с использованием кредитной или дебетовой карты банка . Это очень приятный бонус , который помогает мне экономить деньги на покупках . Кроме того , мне нравится удобство использования мобильного приложения Тинькоф Банка . Я могу легко отслеживать свои финансы , оплачивать счета и переводить деньги прямо с моего смартфона . Это делает мою жизнь гораздо проще и экономит мне время . Также хочу отметить , что обслуживание клиентов в Тинькоф Банке на высшем уровне . Все мои вопросы всегда быстро и профессионально решаются сотрудниками банка . В целом , я очень доволен своим опытом работы с Тинькоф Банком . Они предлагают отличные услуги , удобное мобильное приложение и привлекательную программу кешбека , что делает их одним из лучших банков на рынке . Я определенно рекомендую этот банк всем , кто ищет надежного партнера для управления сво .","[([7], [6], 'POS'), ([7], [4], 'POS'), ([60], [59], 'POS'), ([151], [150], 'POS'), ([158], [157], 'POS'), ([175], [173], 'POS'), ([122], [121], 'POS')]","[('банк', 'удобный', 'POS'), ('банк', 'надежный', 'POS'), ('бонус', 'приятный', 'POS'), ('услуги', 'отличные', 'POS'), ('программу', 'привлекательную', 'POS'), ('банк', 'рекомендую', 'POS'), ('уровне', 'высшем', 'POS')]"
"Тинькофф банк - настоящий лидер в сфере финансовых услуг для физических лиц . Я долгое время являюсь клиентом этого банка и могу с уверенностью сказать , что они предлагают одни из самых выгодных условий для своих клиентов . Одним из главных преимуществ Тинькофф банка является его онлайн - сервис . Он прост и удобен в использовании . Неважно , нужно ли мне проверить баланс , оплатить счет или перевести деньги , все это можно легко сделать через мобильное приложение или интернет - банк . Быстрая реакция на запросы и оперативность в обслуживании – это то , что отличает Тинькофф от других банков . Особенно радует широкий спектр предоставляемых услуг . Я могу выбирать между различными счетами , дебетовыми и кредитными картами , страховыми полисами и инвестиционными продуктами . Тинькофф банк постоянно вводит новые функциональные возможности , чтобы удовлетворить потребности и желания своих клиентов . Но главное , чего я ценю в Тинькофф банке – это их внимание к клиентам . Здесь я всегда чувствую себя важным и уважаемым . Сотрудники банка всегда готовы помочь , объяснить и решить любые вопросы или проблемы . Они понимают , что их задача – создать долгосрочные отношения с клиентами и делают все возможное , чтобы это осуществить . В общем , я очень довольна своим выбором в пользу Тинькофф банка . Они предлагают качественные и удобные финансовые услуги , всегда открыты к обратной связи и готовы удовлетворить потребности своих клиентов . Рекомендую Тинькофф банк всем , кто ищет надежного и современного банковс .","[([223], [219], 'POS'), ([223], [221], 'POS'), ([85], [84], 'POS'), ([4], [3], 'POS'), ([106], [105], 'POS'), ([134], [133], 'POS')]","[('услуги', 'качественные', 'POS'), ('услуги', 'удобные', 'POS'), ('реакция', 'Быстрая', 'POS'), ('лидер', 'настоящий', 'POS'), ('спектр', 'широкий', 'POS'), ('возможности', 'функциональные', 'POS')]"
"Пользуюсь Тинькофф банком давно . Очень доволен . Много плюшек ) ) ) Привлекательные тарифы . Шикарный кэшбэк ( если грамотно делать покупки ) . Тех поддержка на высоте , всегда пойдут на уступки и помогут выгодно для тебя решить тот или иной вопрос . Особая благодарность , респект и уважуха Юлии с тех поддержки ( внутренний номер 400241 ) Помогла оперативно и грамотно решить мой вопр .","[([14], [13], 'POS'), ([17], [16], 'POS')]","[('тарифы', 'Привлекательные', 'POS'), ('кэшбэк', 'Шикарный', 'POS')]"
"Была проблема с подпиской поемеум , не правильно понял условия подписки списали 1990 ₽ за неё , позвонил мерненжиру , он мне отключил подписку , вернул средства за неё , отдельная благодарность Даниилу 228454 , отлично выполняе .",[],[]
"В приложении Тинькофф увидела о скором списании с карты за оплату связи , сама сим картой Тинькофф не пользуюсь . Позвонила поздно вечером по горячей линии представителям банка . Время ожидания ответа составило менее минуты . Компитентный специалист решил все вопросы , помог заблокировать симку , а также проконсультировал . Хочу заметить , что тинькофф в отличии от других банков не списывают в минус , это очень приятно . Рекомендую данный банк за оперативную рабо .","[([37], [36], 'POS'), ([74], [73], 'POS'), ([71], [69], 'POS')]","[('специалист', 'Компитентный', 'POS'), ('рабо', 'оперативную', 'POS'), ('банк', 'Рекомендую', 'POS')]"
"Хочу выразить благодарность оператору тинькоф банка . Увы забыла как вас зовут , приношу свои извинения . Но мне очень понравилось как девушка вела беседу и умело соединяла с интересной информацией о банке . Рассказала много информации , которой я раньше не знала , так же рассказала об преимуществах инвестиций и различных плюшках для моих личных интересов ! Спасибо большое , было очень полезно и приятно с вами иметь дело ! Прошу начальство выписать опера .","[([3], [2], 'POS'), ([30], [29], 'POS')]","[('оператору', 'благодарность', 'POS'), ('информацией', 'интересной', 'POS')]"
Потребовалось выбрать бизнес зал в аэропорту Баку . В приложении увидел 5 ( ! ) Штук . Сначала выбрал не тот бизнес зал . Далее пошёл оформлять другой проход . Поторопился и неправильно заполнил данные пассажира . Обратился в чат . Мне быстро вернули два прохода . Я доволён на 10 баллов из 10 . Большое спасибо менед .,[],[]
"Тинькоф на глазах превращается в непонятно что . С 01 марта мне треплет нервы и ни одного вопроса не решено . Итак , по порядку : . 1 . В декабре я выбрала в разделе кешбек опцию Тинькоф премиум на 2 мес . Бесплатно . Никаких дополнительных условий банк при этом не озвучил . 2 Марта я с удивлением увидела , что с меня списали стоимость обслуживания на премиум 1990руб . На мой запрос о правомерности списания я услышала , что оказывается , должна была сама позаботиться об отключении этой опции по прошествии 2 мес . О том , что мне не озвучили условия акции в декабре - никто слышать не хочет . Как и том , что согласно п2.3 Своих же правил действия акции Банк обязан в дистанционном режиме уведомить клиента заранее о том , что ему необходимо сделать выбор о продолжении опции Тинькоф премиум . Мне уведомление никто не высылал , деньги списали . За свой косяк банк не хочет отвечать . 2 . На март месяц я выбрала опцию кешбэка 16 % ставки по накопительному счету на март . Неоднократно звонила на гл и писала в лк с вопросом об условиях акции . Все дружно вплоть до вечера 02 марта уверяли , что опция будет подключена именно 2 марта ( на следующий день после активации . ) И вдруг 2 марта в 23.15 Я узнаю , что банк в одностороннем порядке решил изменить условия акции и активировать ставку с 5 марта . Весело , правда ? 3 . Ну та теперь вишенка на торте : 01 марта в 20.13 Я делаю перевод со своего накопительного счета для пополнения вклада через финансовую платформу банки . Ру . Мой перевод зависает ! Начинаются бесконечные разговоры о том , что я поздно сделала перевод , что выходные и т . Д и т . П . 02 Марта в 18.26 Сумма возвращается на мой счет в банке . Сегодня 04.03 Я получаю требование от тинькоф вернуть эту сумму до 17.00 . Оказывается , банк без моего ведома повторно отправил деньги по указанным реквизитам без моего на то согласия и без уведомления ! И теперь засыпает меня требованиями вернуть сумму ! Все выходные прошли в бесконечной переписке и перезвоне с банком , две бессонные ночи ! Полрабочего дня потрачено на розыск денег , я должна писать заявление , сама все разыскиваю , а банк косячит . Как это расценивать ? Все скриншоты переписк .","[([392], [393], 'NEG')]","[('банк', 'косячит', 'NEG')]"
"При оформлении дебетовой карты , попросила не навязывать мне кредит , и попросила чтобы не предлагали мне эти услуги от банка , чтобы сделали пометочку , через непродолжительное время опять стало приходить кредитное предложение от банка , позвонила на горячую линии и попросила сделать отметочку чтобы меня не беспокоили по этому вопросу . Сказали сделали , предложения поступать не будут . Прошло чуть больше месяца , и мало того что опять на главной висит впаривание кредита , так ещё и поимели наглость в сообщении мне прислать что вам одобрили кредит возьмите . Считаю что банку абсолютно наплевать на просьбы клиентов , у банка в приоритети навязать кредит . Нужно было бы 100 раз подумать чем связываться с данным банком . Был негативный опыт , девушка по имени Светлана , которая привезла мне дебетовую карты , сидит и говорит мне , возьмите кредитную карту вам что далко чтоли , это полный треш , это не то что наглость , это в .",[],[]
"Дмитрий О . ( ID - 6867601 ) является моим ПМ уже долгое время . Это очень грамотный , компетентный , адекватный , приятный сотрудник . У него на любой вопрос есть ответ . Всегда найдет выход из любой ситуации . При том действует всегда очень спокойно . На протяжении долгого времени постоянно решает мой вопрос с подпиской . У меня уже некоторое время не соблюдены условия для бесплатной подписки Премиум . Дмитрий идет на уступки и делает мне ее бесплатной . Очень приятно такое отношение . Можно приводить таких примеров очень много . Но ответ всегда очевиден - какая бы ситуация не была , Дмитрий поможет в ней разобраться . Скажу лично , больше бы таких грамотных , ориентированных сотрудников , и времени на решение вопросов меньше уходило бы , и нервы были бы целее , и общий настрой был бы очевидно позитивнее ! Оценку Дмитрию я ставлю однозначно 10 из 10 по в .","[([24], [21], 'POS'), ([24], [19], 'POS'), ([24], [23], 'POS'), ([24], [17], 'POS'), ([120], [117], 'POS'), ([120], [119], 'POS')]","[('сотрудник', 'адекватный', 'POS'), ('сотрудник', 'компетентный', 'POS'), ('сотрудник', 'приятный', 'POS'), ('сотрудник', 'грамотный', 'POS'), ('сотрудников', 'грамотных', 'POS'), ('сотрудников', 'ориентированных', 'POS')]"
"Каждый раз обращаюсь в тинькофф - банк , я ощущаю радость , безопасность , успех . 12 января . 2024 года я обратился в контактный центр Тинькофф банка , чтобы открыть валютный счёт для получения деньги за границей , я не знал , как это сделать возбуд Сергей . Помог разобраться с ситуацией , - подсказал наиболее быстрый способ открыть валютный счёт . При создании валютного счёта и чувства безопасности , радость и успех , решение задачи . Спасибо огромное оператору так же всей команде тинькофф - замеч .","[([80], [78, 79], 'POS'), ([80], [78], 'POS'), ([80], [79], 'POS'), ([58], [57], 'POS')]","[('оператору', 'Спасибо огромное', 'POS'), ('оператору', 'Спасибо', 'POS'), ('оператору', 'огромное', 'POS'), ('способ', 'быстрый', 'POS')]"
"Обратился с помощью кьаркода , не мог найти куда его фоткать . Помог отзывчивый сотрудник Кирилл , даже сам за меня его использовал , за что я ему благодарен ) Его внутренний .","[([14], [13], 'POS'), ([14], [12], 'POS')]","[('сотрудник', 'отзывчивый', 'POS'), ('сотрудник', 'Помог', 'POS')]"
"Хочу поделиться впечатлениями от дистанционного обслуживания в банке Тиньков . Я клиент банка уже около 3 лет , и не меньше 2 лет у меня подписка премиум . Я ни на день не пожалела , что ее оформила , причем дело не только в приятных бонусах типа двух проходов в бизнес - залы или бесплатной страховки , но и в отношении банка к клиентам : все возникающие вопросы решаются в чате оперативно и ( по крайней мере в моем случае ) в пользу клиента . Приведу пару конкретных примеров : 1 . Летом бронировала с якобы бесплатной отменой домик на известном ресурсе , передумала , отменила бронь , найдя более привлекательный объект . Вместо возврата предоплаты за бронь ресурс мне начислил свои бонусы . Обжаловала в банке операцию , ситуация была разрешена в мою пользу . 2 . Не далее , как сегодня обнаружила неправильное начисление кэшбека за покупку в аптеке ( где сейчас у меня повышенная категория ) . Почему - то покупка отобразилась как покупка в супермаркете . Написала в поддержку , через полминуты общения с сотрудником Виталием ситуация разрешилась , кэшбек пересчитают исходя из указанной мной категории . Банк по лояльности и качеству обслуживания для меня , по .","[([145], [144], 'NEG'), ([45], [44], 'POS')]","[('начисление', 'неправильное', 'NEG'), ('бонусах', 'приятных', 'POS')]"
