text,pred,label,pred_text,label_text
"Участвовал в акции 10 на все до Нового года . При получении карты банка 17 ноября 2022г . сотрудники подтвердили , что до Нового года на все будет начисляться кэшбэк 10 . За ноябрь действительно кэшбэк был начислен в сумме 1153руб . За покупки 4 и 5 декабря кэшбэк 10 начислен в сумме 90 160 250руб . А вот за покупку билетов в Аэрофлоте 6 декабря на сумму 22050 руб . начислили кэшбэк 927,27руб . На вопрос откуда взялась такая сумма по телефону ответили , что окончательный расчет будет 10 января . 10 января ничего не изменилось и я написал обращение на сайте , куда посылает робот по телефону . Ответа не дождался . 17 января пришел в офис , где мне толком ничего объяснить не смогли , но помогли дозвониться до оператора по телефону . Девушка мне подробно объяснила , что кэшбэк должны пересчитать и для этого она составила обращение в банк еще раз . Судьба этого обращения мне неизвестна , т . к . в личном кабинете в приложении ничего не отобразилось и не изменилось . 23 января опять звоню на горячую линию . Оператор Артем объяснил , что общая сумма кэшбэка по акции не более 2000руб . и что сверх этой суммы кэшбэк начисляется 1,5 . Однако , откуда взялась сумма 927,27 руб . объяснить не смог . Резюме 1 . Не понятно , предел кэшбэка 2000руб . - это в месяц или за всю акцию ? Сотрудники и операторы говорят по - разному . 2 . Как рассчитан кэшбэк 927,27руб . в моем конкретном случае за 4 обращения в банк мне толком никто не ответил . 3 . Я не могу считать приличным банк , который проводит сомнительные акции с различными подводными камнями ( то есть скрытыми или не афишируемыми условиями ) и с такими сотрудниками , которые не могут объяснить клиенту простой вопрос даже с четвертой попытки . 4 . Невозможно доверять банку , который ведет расчеты с ошибками . В частности , кэшбэк у меня за ноябрь начислен 1153руб . , за декабрь1412руб . , а в сумме у банка получилось не 2565 , а 2566руб . ! 5 . Разочарован . Если уж обещаете , нужно выполнять . И считать нужно точно , а не примерно . И объяснить нужно уметь , что насчитали и почему . Не нужно клиентов за дураков держать , некрасиво . 6 . Воевать с банком больше не буду . Не обеднею без этого кэшбэка . А вот буду ли дальше клиентом этого банка - большой вопрос .",[],[],[],[]
"Не порядочный банк !!! Блокирует действия по карте , без зачисления средств на счёт . Отправил займ со Своего ООО в размере 150 000руб . Деньги списались , но на счёт в Тинькофф не поступили . А вместо этого поступил запрос на предоставление целого списка документов . Представители банка ссылаются на 115ФЗ , но разве операция по Займу мне , как ФЛ от меня , как генерального директора компании как - то может быть с этим законом связана ? ? Ответ рассматривают 2 дня , средства возвращают в течении 5 дней . В общем используют мои денежные средства в своих целях , затягивая сроки возврата !","[([2], [0, 1], 'NEG')]",[],"[('банк', 'Не порядочный', 'NEG')]",[]
"Впервые взаимодействали с банком дом . рф , впечатления только положительные . 29.12.2022 провели ипотечную сделку на строительство дома , оформление было через Тверской филиал , с дистанционным подтверждением личности в Москве . От момента подачи заявки до подписания кредитного договора все наши вопросы оперативно и профессионально разрешали П - на Ольга В . и К - ва Виктория , за что им отдельная благодарность ! Спасибо в целом всей команде банка , мы довольны , стройка уже началась ! ) ) ) ) .","[([8], [10], 'POS'), ([70], [66], 'POS')]",[],"[('впечатления', 'положительные', 'POS'), ('команде', 'Спасибо', 'POS')]",[]
"Брал авто кредит в данном банке в декабре 22 - го . Никаких карт , обратная связь только через приложение либо по телефону ... Меня , как человека 039 039 старого формата 039 039 , это сильно смущало , т . к . я привык к карточкам , терминалам и . т . д . Но по факту оказалось очень удобно !!! Надо отдать должное всё работает как часы . Все пополнения подключил через сбербанк онлайн , у них это всё синхронизируется , и вообще никуда ездить , заморачиваться не нужно . Поэтому за удобство однозначно лайк ! Но НЕ БЕЗ ПРИКЛЮЧЕНИЙ ) ) по истечению 21 дня мне внезапно выкатили штраф в 10к ... ( как оказалось нужно было передать в этот срок копию свидетельства о регистрации ТС , о чём я не был предупреждён , правда кредит оформлял сотрудник автосалона , а не банка ... Я накатал Жалобу им на сайт , и честно думал не поможет , так как в договоре нашёл пункт о данном штрафе ... Но по итогу через неделю мне отзвонились с банка , и штраф отменили !!! Так что и сервис и подход к клиентам приятно удивил , хотя первоначально я был просто в бешенстве ) ) Однозначно рекомендую данный банк !!! Слышал , вроде как , что это 039 039 дочка 039 039 Сбера ... Поэтому наверно и более или менее порядок присутствует ...","[([207], [205], 'POS')]",[],"[('банк', 'рекомендую', 'POS')]",[]
"27 декабря 2022 года обратилась в БО банка в городе Сочи с целью закрытия кредита , а так же написать заявления на возврат услуги страхования за неиспользованное время . Сделала полное досрочное погашение , написала заявление , сотрудник его принял , затем в чате уточнила что заявление было принято . Так же в офисе было сказано , что возврат прийдёт до 29.01.2022 года . Несколько раз писала в чат , уточняла все ли впорядке и когда прийдёт возврат , составила обращение повторно . В обращении указали , что оно будет рассмотрено до 31.01 , но сегодня пришло сообщение , что срок изменился аж до 05.02.. . . В регламенте по возврату средств указано , что 10 дней на рассмотрение и 10 дней на возврат . В сумме - 20 рабочих дней . Но банк нарушает регламент возврата средств и пользуется средствами клиента на незаконных основаниях . Требую банк срочно разобраться в этом вопросе и вернуть деньги на счёт .","[([144], [143], 'NEG')]",[],"[('основаниях', 'незаконных', 'NEG')]",[]
"23.12.22 я отправил - перевод на тайский счет своей сестры . Из - за праздников не было никакой информации ни со стороны Таиланда , ни со стороны Райффайзен . Думали , что перевод дойдет как начнутся рабочие дни . Но 06.01.2023 перевод был отменен на стороне банка - корреспондента получателя , О ЧЕМ МЕНЯ НЕ ПРОИНФОРМИРОВАЛИ . На данный момент , перевод возвращается уже порядка 24 календарных дней и 16 рабочих . На вопросы , где деньги , конструктивных ответов я не получал ни в одном отделение Райффайзен . На сегодняшний день ( 30.01.23 ) мои деньги все еще где - то гуляют и с этим никто ничего не хочет делать , кроме меня !!! Прошло больше месяца с момента подачи заявления на перевод и на протяжении всего этого месяца я посещал отделения с просьбой о помощи . Но Райффайзен успешно отпирается и настаивает на платной услуге Розыск платежа , хотя я им уже заплатил 300 долларов , которые мне НЕ ВЕРНУТСЯ . Также , их любимая отговорка , что они не могут просто так связаться с банками - корреспондентами . Но мы же понимаем , что это бред и совершенно не так .",[],[],[],[]
"Самая бесполезная служба поддержки среди всех банков . Ни разу не смогли помочь ! Не знают , кто может помочь . Допустили опечатку в офисе банка - служба поддержки долдонит как попугай претензии обрабатываются в течение 15 дней . Доехала до офиса - исправили за 5 минут . Никто из поддержки этот вариант не предложил , зато очень сожалели , что ничем не могут помочь . Прикрепила файл об оплате страхового взноса - никто не может проверить , прикрепился он или нет . В приложении информация не отображается . Снова та же песня про 15 дней и бесконечные сожаления . Никаких контактов не дают , вариантов решения не предлагают , только повторяют про 15 дней и всё . Вроде крупный банк и такой непрофессионализм ! К работе самих отделений банка претензий нет .",[],[],[],[]
"Оставил заявку на дебетовую карту Совкомбанка через сайт . Позвонили из банка , подтвердил , что хочу дебетовую , записали в отделение . В отделении же начали спрашивать про кредитную историю , работаю ли ... Странно для получения дебетовой карты , не так ли ? Неужель оформляют карту рассрочки ? Уточнил , делаем все согласно заявки , дебетовая карта Совкомбанка . Что получил ? Правильно , карту Халва без кредитного лимита как и подтвердили потом в поддержке банка . Итого получен другой продукт . Как работаем , господа ? Хорошо , что родителей еще не взял оформлять .",[],[],[],[]
"Уже оставлял отзыв о банке . Не так часто хожу в офисы , но вот снова пришлось . Пришел в офис за справкой для налоговой . Передо мной было 3 человека , пришлось немного подождать . Справку сделали быстро , девушка даже показала , что ее можно и в приложении заказать . Спасибо , очень удобно . В следующем году буду формировать в приложении ( если его не удалят ) . Заодно оформил досрочку . И все у одного сотрудника . Как всегда обслуживание на высоте , приятно посещать офис , где сотрудники готовы помочь .","[([83], [84, 85], 'POS')]",[],"[('обслуживание', 'на высоте', 'POS')]",[]
"Добрый день . Не могу не выразить свое возмущение на действия сотрудников офиса банка ВТБ по адресу г . Екатеринбург , ул . Крауля , 44 . Сегодня , 30.01.2023 я обратился в этот офис с целью оформления социальной карты для получения пособий . Мне было сказано , что в обязательном порядке будет оформлена кредитная карта . И что я через 3 месяца могу принести и вернуть ее обратно в офис . Прошу ответственных лиц пояснить мне , - что это за навязывание кредитных карт ? Прошу принять меры административного характера к сотрудникам данного офиса в связи с неправомерностью их действий . Я - человек предпенсионного возраста , ветеран труда . И я самостоятельно не в состоянии противодействовать активности и рвению ваших сотрудников . Есть желание обратиться к юристам для написания жалобы на сложившуюся ситуацию .",[],[],[],[]
"В сентябре 2022 года приобрел новый автомобиль в автосалоне по программе государственной поддержки . Согласно программе 20 стоимости автомобиля компенсирует государство , но есть нюансы . Только 4 одобренных банка могли давать кредит по такой программе и при оформлении сотрудники автосалона и сотрудник кредитной организации мне ясно дали понять что помимо КАСКО я обязан приобрести страхование ( это такая страховка , если денег от КАСКО не хватит на погашение долга по кредиту в случае гибели автомобиля ) в партнере Совкомбанк - страхование ( а по сути в самом банке ) и конечно нельзя это сделать в иной страховой компании . В течение недели мною было написано письмо в Совкомбанк - страхование на расторжение договора страхования , т . к . право на это закреплено законодательно при обращении в течение 14 дней . Далее началось интересное . Совкомбанк - Страхование через месяц отказывает в расторжении в связи с тем что согласно соглашению я должен был подать заявление на расторжение в сам Совкомбанк . Само собой , когда я обратился в Совкомбанк , как ой ответ я получил ? Правильно , вы должны были обратиться в течение 14 дней . Гениально мошенническая схема ! Добавлю про кредитную карту Халва . При оформлении кредита мне была навязана эта карта и условие что я должен ей пользоваться 5 месяцев , иначе процентная ставка по кредиту вырастет на несколько процентов , ну что - ж , начал пользоваться . Оказывается , если вы покупаете на кредитные деньги не в магазине партнере - вы сразу начинаете платить проценты , имейте это ввиду . Об этом вы особо нигде не прочитаете в соглашении , т . к . там написано максимально запутано . Но , конечно , эта мелочь меркнет перед схемой когда меня обманули на почти 40тр за страховку , которая мне не нужна .","[([190], [189], 'NEG')]",[],"[('схема', 'мошенническая', 'NEG')]",[]
"Являюсь зарплатным клиентом Сбера более 10 лет . Безупречная кред . история . Решил впервые в жизни взять ипотеку на строительство дома и уже много раз пожалел . Казалось бы , вся страна живет в ипотеку и механизм должен быть отлажен до автоматизма , но ! сотрудники Сбера сделали все возможное , чтобы показать свою некомпетентность , а именно , приведу основное с чем пришлось мне столкнуться 1 . Менеджеры Сбера не владеют в полной мере информацией о своем продукте . По телефону говорят одно , в чате пишут другое . 2 . Выдачу самой ипотеки растянули на 1.5 месяца по вине сбера . Как итог , стройка началась в несезон . Для выдачи займа нужно что - то оставить в залог , если с ипотекой на квартиру все понятно - эта квартира и идет в залог , то со строительством дома не все так просто . Решил отдать в залог участок , сделали независимую оценку и отправили в банк . Банк все принял , согласовал , но сумму ипотеки занизил на 10 . На мой вопрос почему ? - ответ Сбера - Ошибка , пересогласуем повторно . После их пересогласования участка стало недостаточно для залога ! Сбер потребовал что - то еще . Хорошо , есть квартира жены , которая по оценки в 2.5 раза превосходит сумму по ипотеки . Спросил у Сбера , смогу ли я после постройки дома и регистрации вывести квартиру из под залога , ответ всегда был - Да , конечно . все сделаем . НО ! после регистрации квартиру отказались выводить из под залога , требуют 3000р комиссии за замену , но кака замена , если в выписке из ЕГРН на дом в графе обременения и так стоит Ипотека . т . е . , теперь у Сбера 3 объекта недвижимости ! на общую сумму , которая превышает сумму выданной ипотеки в 5 раз ! 3 . Несколько раз спрашивали про использование мат . капитала . Я четко дал понять по телефону и в чате , что да , использовать буду в качестве перевода аккредитованному застройщику . Но ! в Сбере в договоре не прописали ни слово о мат капитале и теперь я и жена не можем из ПФР перевести деньги застройщику . . но это уже мелочи . 4 . Было и еще огромное кол - во мелкий гадостей от Сбера о которых уже сил нет говорить . Как итог , отговорил от взятия ипотеки в Сбере своего соседа по участку и отца . Они тоже планировали строиться в ипотеку . Всем ! если решите взять ипотеку именно на строительство собственного дома в Сбере - подумайте много раз . Сбер и его менеджеры не умеют работать с этим продуктом ! они его не знают !","[([436], [440, 441], 'NEG')]",[],"[('Сбер', 'не умеют', 'NEG')]",[]
"Всем привет , несколько раз обращался в чат в мобильном приложении с просьбой отключить меня от рассылок в этом же чате , это очень раздражает , приходят уведомления , приходится запускать приложение и читать , что же там написали в чате с банком . А написали они опять рекламу . На просьбы отключить данные оповещения меня убеждали что конечно , сейчас все сделаем , отключили вот . Но вы уже поняли , верно ? Уведомления как шли так и идут , то осаго предлагают то еще что . С радостью бы ушел уже в другой банк но денржит зарплатный проект . Решайте сами стоит ли пользоваться услцгами банка которому на ваши просьбы просто плевать .",[],[],[],[]
"Обещали 2000 при тратах более 5000 в первый месяц . Полтора месяца ждал . Никакой выплаты . Приняли обращение , срок рассмотрения 30 дней издеваются . В чате ждал ответа по 7 часов . Сразу после короткой отписки оператор о включается и на следующий вопрос нужно опять ждать оператора . Месяц не могли наладить оплату с карты в интернет магазинах .",[],[],[],[]
"Кратко банк со скрипом принял на рассмотрение полис от другой страховой компании , просрочил рассмотрение и не может сообщить когда всё - таки рассмотрит обращение . Подробнее Взял кредит , хочу поменять страховую компанию , т . к . страховка от банка составляет аж 15 от тела кредита . Далее по шагам 13 января Взял кредит . Тоже не без приключений , но в данном отзыве это не важно . С этого момента у меня есть период охлаждения 14 дней , чтобы отказаться от страховки . 16 января В чате с поддержкой узнал как согласовать новую страховку . Ответ Для согласования новой страховой компании необходимо прислать договор в эл . почту . . С указанием полного ФИО , номера телефона , а также номера кредитного договора . Отправил условия страховки , которую планировал взять на указанную почту для предварительного согласования . Банк ответил , что предварительное согласование не осуществляется . Что ж , делать нечего , значит надо отказываться от страховки и присылать уже оформленную . 17 января Приехал в отделение банка , написал заявление на отказ от страховки . Взял с собой проект договора по новой страховке . Сотрудница так же не стала смотреть договор т . к . никогда не занималась согласованием новой страховки . Ок , бывает , значит буду писать на почту . По договору с момента отказа от страховки у меня есть 30 дней , чтобы согласовать с банком новую страховку , если не хочу потерять текущую процентную ставку . 18 января Оформил новую страховку , отправил договор и все необходимые данные на почту . Получил ответ Для предоставления полиса необходимо обратиться в офис банка . Процитировал сообщение поддержки от 16 января , что согласовывать полис нужно по - , попросил объяснить почему нельзя провести согласование в электронном виде , ведь в договоре - указан как способ коммуникации с банком . Вместо ответа сказали , что приняли страховку на рассмотрение , рассмотрение заявления займёт до 7 дней , то есть крайний строк - 25 января . Маленькая , но победа . 19 января Пришёл пуш от банка , что я не выполнил условия договора и процентная ставка по кредиту увеличивается . То есть моё заявление на отказ от страховки обработали быстро - за 2 дня . 26 января Истёк заявленный срок рассмотрения заявления . Попросил в поддержке установить новый срок . В ответ были стандартные отписки типа иногда рассмотрение заявления занимает больше времени . Написал на почту тот же вопрос - когда заявление будет рассмотрено , так же стандартная отписка - пожалуйста ожидайте . 29 января Прошло 11 дней вместо 7 . Повторил попытку узнать новые сроки рассмотрения . В ответ те же стандартные отписки . Как я понимаю у поддержки действительно нет информации о сроках рассмотрения , если они просрочены и они просто не могут ничем помочь . В отзывах на . увидел , что мой случай не единственный когда банк затягивает рассмотрение страховки . Например ..10799051 ( Банк настолько медленно рассматривал изменение страховки , что истёк 30 - дневный период ) ..10768971 ( Банк принял новую страховку только после того как клиент написал заявление в ЦБ РФ ) Прошу рассмотреть заявление и , если условия страхового договора не подходят , явно указать каким пунктам требований он не отвечает .",[],[],[],[]
